levtiades_index,source_atlas,original_index,region_name,voxel_count,original_roi_file
173,Destrieux,115,R_Lat_Fis-ant-Vertical,66,destrieux_115_R_Lat_Fis-ant-Vertical.nii.gz
174,Destrieux,116,R_Lat_Fis-post,506,destrieux_116_R_Lat_Fis-post.nii.gz
175,Destrieux,118,R_Pole_occipital,1081,destrieux_118_R_Pole_occipital.nii.gz
176,Destrieux,119,R_Pole_temporal,1080,destrieux_119_R_Pole_temporal.nii.gz
177,Destrieux,120,R_S_calcarine,651,destrieux_120_R_S_calcarine.nii.gz
178,Destrieux,121,R_S_central,1061,destrieux_121_R_S_central.nii.gz
179,Destrieux,122,R_S_cingul-Marginalis,470,destrieux_122_R_S_cingul-Marginalis.nii.gz
180,Destrieux,123,R_S_circular_insula_ant,215,destrieux_123_R_S_circular_insula_ant.nii.gz
181,Destrieux,124,R_S_circular_insula_inf,537,destrieux_124_R_S_circular_insula_inf.nii.gz
182,Destrieux,125,R_S_circular_insula_sup,496,destrieux_125_R_S_circular_insula_sup.nii.gz
183,Destrieux,126,R_S_collat_transv_ant,242,destrieux_126_R_S_collat_transv_ant.nii.gz
184,Destrieux,127,R_S_collat_transv_post,74,destrieux_127_R_S_collat_transv_post.nii.gz
185,Destrieux,128,R_S_front_inf,470,destrieux_128_R_S_front_inf.nii.gz
186,Destrieux,129,R_S_front_middle,416,destrieux_129_R_S_front_middle.nii.gz
187,Destrieux,130,R_S_front_sup,577,destrieux_130_R_S_front_sup.nii.gz
188,Destrieux,131,R_S_interm_prim-Jensen,98,destrieux_131_R_S_interm_prim-Jensen.nii.gz
189,Destrieux,132,R_S_intrapariet_and_P_trans,671,destrieux_132_R_S_intrapariet_and_P_trans.nii.gz
190,Destrieux,133,R_S_oc_middle_and_Lunatus,207,destrieux_133_R_S_oc_middle_and_Lunatus.nii.gz
191,Destrieux,134,R_S_oc_sup_and_transversal,362,destrieux_134_R_S_oc_sup_and_transversal.nii.gz
192,Destrieux,135,R_S_occipital_ant,115,destrieux_135_R_S_occipital_ant.nii.gz
193,Destrieux,136,R_S_oc-temp_lat,157,destrieux_136_R_S_oc-temp_lat.nii.gz
194,Destrieux,137,R_S_oc-temp_med_and_Lingual,519,destrieux_137_R_S_oc-temp_med_and_Lingual.nii.gz
195,Destrieux,138,R_S_orbital_lateral,83,destrieux_138_R_S_orbital_lateral.nii.gz
196,Destrieux,139,R_S_orbital_med-olfact,189,destrieux_139_R_S_orbital_med-olfact.nii.gz
197,Destrieux,140,R_S_orbital-H_Shaped,408,destrieux_140_R_S_orbital-H_Shaped.nii.gz
198,Destrieux,141,R_S_parieto_occipital,574,destrieux_141_R_S_parieto_occipital.nii.gz
199,Destrieux,142,R_S_pericallosal,438,destrieux_142_R_S_pericallosal.nii.gz
200,Destrieux,143,R_S_postcentral,633,destrieux_143_R_S_postcentral.nii.gz
201,Destrieux,144,R_S_precentral-inf-part,439,destrieux_144_R_S_precentral-inf-part.nii.gz
202,Destrieux,145,R_S_precentral-sup-part,412,destrieux_145_R_S_precentral-sup-part.nii.gz
203,Destrieux,146,R_S_suborbital,119,destrieux_146_R_S_suborbital.nii.gz
204,Destrieux,147,R_S_subparietal,297,destrieux_147_R_S_subparietal.nii.gz
205,Destrieux,148,R_S_temporal_inf,190,destrieux_148_R_S_temporal_inf.nii.gz
206,Destrieux,149,R_S_temporal_sup,1715,destrieux_149_R_S_temporal_sup.nii.gz
207,Destrieux,150,R_S_temporal_transverse,94,destrieux_150_R_S_temporal_transverse.nii.gz
