index,region_name,source_atlas,mni_x,mni_y,mni_z,volume_voxels,volume_mm3
179,"(122, 'R S_cingul-Marginalis')",Destrieux,13.1,-37.3,48.0,470,3760
180,"(123, 'R S_circular_insula_ant')",Destrieux,31.9,21.9,-6.1,215,1720
181,"(124, 'R S_circular_insula_inf')",Destrieux,42.8,-12.1,-6.9,537,4296
182,"(125, 'R S_circular_insula_sup')",Destrieux,36.6,6.0,11.1,496,3968
183,"(126, 'R S_collat_transv_ant')",Destrieux,42.6,-22.0,-25.3,242,1936
184,"(127, 'R S_collat_transv_post')",Destrieux,26.2,-79.1,-7.8,74,592
185,"(128, 'R S_front_inf')",Destrieux,39.7,24.1,22.1,470,3760
186,"(129, 'R S_front_middle')",Destrieux,28.9,40.8,22.0,416,3328
187,"(130, 'R S_front_sup')",Destrieux,24.2,18.2,46.2,577,4616
188,"(131, 'R S_interm_prim-Jensen')",Destrieux,49.4,-45.4,32.8,98,784
189,"(132, 'R S_intrapariet_and_P_trans')",Destrieux,29.8,-57.6,44.2,671,5368
190,"(133, 'R S_oc_middle_and_Lunatus')",Destrieux,33.5,-83.8,7.3,207,1656
191,"(134, 'R S_oc_sup_and_transversal')",Destrieux,28.2,-78.0,23.0,362,2896
192,"(135, 'R S_occipital_ant')",Destrieux,43.7,-67.4,4.3,115,920
193,"(136, 'R S_oc-temp_lat')",Destrieux,43.9,-51.5,-13.6,157,1256
194,"(137, 'R S_oc-temp_med_and_Lingual')",Destrieux,30.3,-49.1,-10.7,519,4152
195,"(138, 'R S_orbital_lateral')",Destrieux,42.7,39.6,-1.2,83,664
196,"(139, 'R S_orbital_med-olfact')",Destrieux,13.7,22.4,-16.6,189,1512
197,"(140, 'R S_orbital-H_Shaped')",Destrieux,26.1,34.8,-12.7,408,3264
198,"(141, 'R S_parieto_occipital')",Destrieux,17.2,-68.1,25.7,574,4592
199,"(142, 'R S_pericallosal')",Destrieux,6.2,-4.7,21.5,438,3504
200,"(143, 'R S_postcentral')",Destrieux,36.8,-34.4,47.7,633,5064
201,"(144, 'R S_precentral-inf-part')",Destrieux,43.2,4.8,29.3,439,3512
202,"(145, 'R S_precentral-sup-part')",Destrieux,27.5,-8.9,54.3,412,3296
203,"(146, 'R S_suborbital')",Destrieux,7.9,40.0,-12.0,119,952
204,"(147, 'R S_subparietal')",Destrieux,10.0,-49.8,37.3,297,2376
205,"(148, 'R S_temporal_inf')",Destrieux,52.6,-35.7,-14.9,190,1520
206,"(149, 'R S_temporal_sup')",Destrieux,50.1,-39.2,4.3,1715,13720
207,"(150, 'R S_temporal_transverse')",Destrieux,52.6,-23.0,6.4,94,752
